,,,,앤드피스,,,CAM 압입 (최고압입력kN/최종압입력kN/판정),,,,,,,,,,,,,,,,,,,,,,,,,,,CAM 토크(N.m)/위상각도(도)/가공여유 검사,
바코드,모델명,라인/장비/팔레트,일시,최종위치(mm)/압입력(kN)/판정,,,CAM1,,,CAM2,,,CAM3,,,CAM4,,,CAM5,,,CAM6,,,CAM7,,,CAM8,,,CAM9,,,CAM1,,,,,CAM2,,,,,CAM3,,,,,CAM4,,,,,CAM5,,,,,CAM6,,,,,CAM7,,,,,CAM8,,,CAM9,,,,,
2401080236D,ATKINSON 3.8 OCV,DM3P1,2024-01-08 13:38:31,18.492,32.33,OK,28.3,28.14,OK,24.89,24.78,OK,24.31,24.24,OK,20.88,20.58,OK,26.82,26.82,OK,27.77,27.63,OK,20.11,19.88,NG,0,0,,0,0,,11.74,OK,11.97,OK,12.13,OK,11.92,OK,11.86,OK,12.04,OK,12.21,OK,0,,0,,9.9,OK,10.27,OK,10.34,OK,10.04,OK,10.38,OK,10.76,OK,5.27,OK,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401080346D,ATKINSON 3.8 OCV,DM1P2,2024-01-08 15:19:16,18.487,35.42,OK,30.43,30.34,OK,31.47,31.45,OK,33.2,32.82,OK,32.44,32.26,OK,32.26,32.23,OK,35.36,35.23,NG,0,0,,0,0,,0,0,,11.43,OK,11.42,OK,11.41,OK,11.45,OK,11.51,OK,11.51,OK,1.06,OK,0,,0,,10.47,OK,10.48,OK,10.66,OK,10.61,OK,10.8,OK,2.22,OK,1.13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401080006C,NEW KA 1.2/1.5 MT,CM5P4,2024-01-08 16:22:28,18.698,28.55,OK,22.7,22.2,OK,21.03,20.45,OK,20.38,19.81,OK,19.31,18.9,OK,19.23,18.71,OK,18.42,17.99,OK,19.66,19.11,OK,18.66,18.09,OK,17.68,17.49,OK,1.67,OK,1.86,OK,1.88,OK,1.87,OK,1.91,OK,1.85,OK,1.87,OK,1.87,OK,1.86,OK,2.48,OK,2.44,OK,2.57,OK,2.48,OK,2.53,OK,2.57,OK,2.51,OK,2.51,OK,2.52,OK,,,-317.38,NG,,,,-317.66,NG,,,,-225.58,NG,,,,,,,,,47.69,NG,,,,46.71,NG,,,,138.63,NG,,,,137.17,NG,,,,,,,
2401080003C,NEW KA 1.2/1.5 MT,CM2P2,2024-01-08 16:23:23,18.693,29.33,OK,23.24,22.87,OK,21.17,20.42,OK,20.3,19.91,OK,20.89,20.33,OK,21.38,21,OK,20.35,19.74,OK,19.02,18.72,OK,20.79,20.28,OK,20.33,19.79,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,,,-310.04,OK,,,,-309.3,OK,,,,-219.22,OK,,,,,,,,,38.26,OK,,,,38.73,OK,,,,128.92,OK,,,,128.37,OK,,,,,,,
2401080005C,NEW KA 1.2/1.5 MT,CM4P8,2024-01-08 16:24:19,18.698,28.55,OK,25.14,23.64,OK,25.91,24.5,OK,22.85,21.04,OK,23.77,22.14,OK,21.99,21.62,OK,22.19,21.18,OK,22.08,21.31,OK,22.89,22.25,OK,21.53,20.12,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,,,-308.18,OK,,,,-308.41,OK,,,,-217.54,OK,,,,,,,,,36.92,OK,,,,39.25,OK,,,,127.26,OK,,,,127.05,OK,,,,,,,
2401080004C,NEW KA 1.2/1.5 MT,CM3P3,2024-01-08 16:25:14,18.679,28.76,OK,29.42,28.53,OK,28.33,26.81,OK,28.44,26.86,OK,28.26,25.91,OK,29.48,29.03,OK,28.94,27.36,OK,29.39,27.7,OK,29.85,27.7,OK,30.14,28.69,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,,,-309.59,OK,,,,-309.33,OK,,,,-218.43,OK,,,,,,,,,39.22,OK,,,,39.2,OK,,,,129.74,OK,,,,128.35,OK,,,,,,,
2401080010C,NEW KA 1.2/1.5 MT,CM3P3,2024-01-08 16:26:06,18.69,28.8,OK,26.36,25.57,OK,24.42,23.53,OK,27.04,26.34,OK,25.32,24.3,OK,27.7,27.4,OK,27.43,26.86,OK,26.93,25.59,OK,26.68,25.89,OK,26.86,26.45,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,,,-309.1,OK,,,,-308.61,OK,,,,-218.47,OK,,,,,,,,,39.76,OK,,,,39.15,OK,,,,128.99,OK,,,,128.33,OK,,,,,,,
2401080008C,NEW KA 1.2/1.5 MT,CM1P9,2024-01-08 16:27:01,18.676,28.42,OK,23.25,22.81,OK,22.29,21.38,OK,21.69,20.99,OK,21.17,20.26,OK,20.8,20.38,OK,20.33,19.56,OK,21.06,20.24,OK,20.12,19.52,OK,21.29,20.4,OK,5.44,OK,6.41,OK,6.8,OK,6.45,OK,6.61,OK,6.38,OK,6.36,OK,6.51,OK,7.32,OK,7.62,OK,8.03,OK,7.6,OK,7.55,OK,7.57,OK,7.48,OK,7.38,OK,7.57,OK,7.44,OK,,,-307.52,OK,,,,-308.8,OK,,,,-219.29,OK,,,,,,,,,38.92,OK,,,,37.71,OK,,,,128.78,OK,,,,128.11,OK,,,,,,,
2401080011C,NEW KA 1.2/1.5 MT,CM4P8,2024-01-08 16:27:56,18.691,29.16,OK,24.56,23.71,OK,23.09,22.12,OK,22.08,20.89,OK,22.85,21.86,OK,21.24,20.93,OK,21.26,20.32,OK,21.44,20.91,OK,21.33,20.52,OK,21.2,20.41,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,,,-307.57,OK,,,,-308.47,OK,,,,-217.82,OK,,,,,,,,,38.41,OK,,,,38.56,OK,,,,128.61,OK,,,,128.63,OK,,,,,,,
2401080009C,NEW KA 1.2/1.5 MT,CM2P2,2024-01-08 16:28:52,18.69,28.43,OK,22.52,22.24,OK,20.49,20.23,OK,20.4,20.14,OK,20.54,20.26,OK,21.1,20.98,OK,21.66,21.33,OK,21.03,20.75,OK,20.23,19.86,OK,19.72,19.35,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,,,-309.74,OK,,,,-308.71,OK,,,,-219.82,OK,,,,,,,,,37.11,OK,,,,38.03,OK,,,,128.75,OK,,,,128.51,OK,,,,,,,
