,,,,앤드피스,,,CAM 압입 (최고압입력kN/최종압입력kN/판정),,,,,,,,,,,,,,,,,,,,,,,,,,,CAM 토크(N.m)/위상각도(도)/가공여유 검사,
바코드,모델명,라인/장비/팔레트,일시,최종위치(mm)/압입력(kN)/판정,,,CAM1,,,CAM2,,,CAM3,,,CAM4,,,CAM5,,,CAM6,,,CAM7,,,CAM8,,,CAM9,,,CAM1,,,,,CAM2,,,,,CAM3,,,,,CAM4,,,,,CAM5,,,,,CAM6,,,,,CAM7,,,,,CAM8,,,CAM9,,,,,
2401170583C,NEW KAPPAEX1.0,CM1P4,2024-01-17 15:46:44,18.69,29.65,OK,25,24.67,OK,23.81,22.81,OK,23.97,23.55,OK,23.62,22.64,OK,22.67,22.13,OK,21.52,20.54,OK,21.15,20.54,OK,0,0,,0,0,,5.59,OK,6.97,OK,6.84,OK,7.24,OK,6.94,OK,6.85,OK,6.89,OK,0,,0,,6.74,OK,6.97,OK,7.03,OK,6.66,OK,6.81,OK,6.61,OK,6.43,OK,0,,0,,117.77,OK,,,,120.79,OK,,,,120.79,OK,,,,88.87,OK,,,,120.67,OK,,,,120.79,OK,,,,,OK,,,,,OK,,,,59.95,OK,,,,
2401171156C,NEW KAPPAEX1.0,CM3P3,2024-01-17 23:00:55,18.687,27.03,OK,23.26,22.92,OK,21.7,21.16,OK,21.7,21.18,OK,21.2,20.91,OK,21.02,20.95,OK,21.88,21.27,OK,21.95,21.52,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,52.63,OK,,,,52.64,OK,,,,-293.37,OK,,,,-292.13,OK,,,,172.9,OK,,,,173.2,OK,,,,,,,,,,,,,,,,,
2401171157C,NEW KAPPAEX1.0,CM5P9,2024-01-17 23:01:44,18.691,26.71,OK,28.81,28.1,OK,25.23,24.82,OK,24.7,24.3,OK,24.61,24.18,OK,24.63,24.16,OK,23.25,22.72,OK,21.43,21.03,OK,0,0,,0,0,,2.31,OK,2.25,OK,2.33,OK,2.26,OK,2.23,OK,2.25,OK,2.24,OK,0,,0,,2.59,OK,2.58,OK,2.71,OK,2.67,OK,2.66,OK,2.7,OK,2.52,OK,0,,0,,,,53.3,OK,,,,53.99,OK,,,,-292.79,OK,,,,-292.22,OK,,,,172.07,OK,,,,172.75,OK,,,,,,,,,,,,,,,,,
2401171158C,NEW KAPPAEX1.0,CM4P4,2024-01-17 23:02:36,18.69,29.05,OK,26.46,26.06,OK,22.69,22.01,OK,23.38,22.67,OK,22.12,21.7,OK,22.5,22.32,OK,20.16,19.59,OK,21.64,20.71,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,52.64,OK,,,,52.98,OK,,,,-293.82,OK,,,,-292.3,OK,,,,171.71,OK,,,,171.67,OK,,,,,,,,,,,,,,,,,
2401171159C,NEW KAPPAEX1.0,CM1P7,2024-01-17 23:03:24,18.69,27.57,OK,23.3,22.78,OK,23.53,22.88,OK,22.81,22.46,OK,22.71,22.04,OK,21.87,21.52,OK,22.34,21.52,OK,22.36,21.69,OK,0,0,,0,0,,5.88,OK,7.21,OK,7.11,OK,7.1,OK,7.08,OK,7.42,OK,7.22,OK,0,,0,,6.85,OK,7,OK,6.94,OK,7.3,OK,6.8,OK,6.87,OK,6.8,OK,0,,0,,,,51.59,OK,,,,53.14,OK,,,,-292.21,OK,,,,-292.92,OK,,,,172.28,OK,,,,172.57,OK,,,,,,,,,,,,,,,,,
2401171124C,NEW KAPPAEX1.0,CM1P7,2024-01-17 23:04:13,18.692,27.67,OK,24.14,23.48,OK,23.32,22.62,OK,23.58,23.13,OK,23.69,22.92,OK,22.22,21.78,OK,22.32,21.64,OK,21.9,21.31,OK,0,0,,0,0,,6,OK,6.98,OK,6.9,OK,7.86,OK,7.17,OK,7.16,OK,7.02,OK,0,,0,,6.85,OK,7.2,OK,7.38,OK,6.85,OK,6.95,OK,7.29,OK,6.32,OK,0,,0,,,,52.05,OK,,,,52.68,OK,,,,-292.33,OK,,,,-292.84,OK,,,,172.2,OK,,,,172.2,OK,,,,,,,,,,,,,,,,,
2401171161C,NEW KAPPAEX1.0,CM3P1,2024-01-17 23:05:02,18.691,28.47,OK,22.94,22.6,OK,21.59,21.2,OK,20.93,20.45,OK,21.74,21.45,OK,21.63,21.63,OK,20.75,20.45,OK,21.79,21.5,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,53.47,OK,,,,53.46,OK,,,,-293.61,OK,,,,-291.72,OK,,,,172.77,OK,,,,172.17,OK,,,,,,,,,,,,,,,,,
2401171162C,NEW KAPPAEX1.0,CM5P5,2024-01-17 23:05:51,18.691,26.97,OK,28.26,27.62,OK,25.49,25.16,OK,25.59,24.92,OK,23.25,22.94,OK,23.65,23.25,OK,22.48,22.01,OK,21.62,21.26,OK,0,0,,0,0,,2.33,OK,2.31,OK,2.29,OK,2.28,OK,2.27,OK,2.29,OK,2.3,OK,0,,0,,2.71,OK,2.64,OK,2.67,OK,2.62,OK,2.74,OK,2.74,OK,2.58,OK,0,,0,,,,52.19,OK,,,,52.38,OK,,,,-292.8,OK,,,,-292.08,OK,,,,171.3,OK,,,,172.2,OK,,,,,,,,,,,,,,,,,
2401171160C,NEW KAPPAEX1.0,CM2P8,2024-01-17 23:06:40,18.682,29.37,OK,21.54,21.38,OK,20.19,19.91,OK,20.28,20.16,OK,19.44,19.09,OK,19.3,19.28,OK,20.54,20.12,OK,19.95,19.46,OK,0,0,,0,0,,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,0,,0,,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,0,,0,,,,53.06,OK,,,,53.43,OK,,,,-292.33,OK,,,,-292.22,OK,,,,170.8,OK,,,,171.37,OK,,,,,,,,,,,,,,,,,
2401171163C,NEW KAPPAEX1.0,CM4P6,2024-01-17 23:07:28,18.694,29.67,OK,26.04,25.58,OK,22.23,21.46,OK,23,22.21,OK,22.67,22.28,OK,22.08,21.95,OK,21.4,20.74,OK,21.7,20.87,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,53.14,OK,,,,53.72,OK,,,,-293.15,OK,,,,-292.12,OK,,,,171.87,OK,,,,171.93,OK,,,,,,,,,,,,,,,,,
